Aimé Césaire,acesaire,"poet, politician","Alex Gil, Kora Véron-Leblé",,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Basse-Pointe, Martinique",1913-06-25,,Ngal 21,,1924-06,Toumson 29,born in Basse-Point; leaves to Fort-de-France for his studies,basse_pointe_martinique
"Fort-de-France, Martinique",,1924-06,Toumson 30,,1931-09-24,Ngal 41,studies at the Lycée,fort_de_france_martinique
"Paris, France",1931-09,,Ngal 41,1935-07,,,life as a student in Paris,paris_france
"Šibenik, Croatia",,1935-08,Toumson 30,,,,,sibenik_croatia
"Paris, France",1935-09,,,1936-07,,,,paris_france
"Fort-de-France, Martinique",1936-07,,,,,,,fort_de_france_martinique
"Paris, France",,1936-10,,1939-08,,,,paris_france
"Fort-de-France, Martinique",1939-09,,,1944-05-17,,,,fort_de_france_martinique
"Port-au-Prince, Haiti",1944-05-17,,,1944-12-15,,,,port_au_prince_haiti
"Fort-de-France, Martinique",1944-12-15,,,1945-11-12,,,,fort_de_france_martinique
"Port-au-Prince, Haiti",1945-11-12,,,,,,,port_au_prince_haiti
"Miami, Florida, USA",,,,,1945-11-17,,,miami_florida_usa
"New York, New York, USA",,1945-11-18,,,,,,new_york_new_york_usa
"Paris, France",1945-12-09,,,1946-04,,,,paris_france
"Miami, Florida, USA",1946-05,,,,,,,miami_florida_usa
"Fort-de-France, Martinique",1946-05-05,,,1946-06,,,,fort_de_france_martinique
"Paris, France",1946-07-10,,,1946-10,,,,paris_france
"Fort-de-France, Martinique",1946-10-21,,,1946-12,,,,fort_de_france_martinique
"Paris, France",1947-01,,,1947-10-06,,,,paris_france
"Fort-de-France, Martinique",1947-10-06,,,1947-11,,,,fort_de_france_martinique
"Paris, France",1947-11,,,1948-08-23,,,,paris_france
"Wroclaw, Poland",1948-08-24,,,,1948-08-28,,,wroclaw_poland
"Auschwitz, Poland",,1948-08-30,,,,,,auschwitz_poland
"Paris, France",1948-09,,,1948-10-20,,,,paris_france
"Fort-de-France, Martinique",1948-11,,,1948-12,,,,fort_de_france_martinique
"Paris, France",1949-01,,,1949-03,,,,paris_france
"Bucarest, Romania",1949-03-29,,,,1949-03-31,,,bucarest_romania
"Paris, France",1949-04,,,1949-09,,,,paris_france
"Fort-de-France, Martinique",1949-09,,,1949-10,,,,fort_de_france_martinique
"Paris, France",,1950-01,,1950-10,,,,paris_france
"Fort-de-France, Martinique",1950-10-24,,,,1952-06-02,,,fort_de_france_martinique
"Paris, France",,1952-06,,,1952-12-10,,,paris_france
"Vienna, Austria",1952-12-12,,,,1952-12-20,,,vienna_austria
"Paris, France",1952-12-21,,,1953-02,,,,paris_france
"Fort-de-France, Martinique",,1953-02,,,,,,fort_de_france_martinique
"Moscow, Russia",,1953-03,,,,,,moscow_russia
"Paris, France",,1953-03,,,,,,paris_france
"Fort-de-France, Martinique",,1953-04,,1953-05,,,,fort_de_france_martinique
"Paris, France",,1953-06,,1953-07,,,,paris_france
"Fort-de-France, Martinique",1953-07-22,,,,1953-09-03,,,fort_de_france_martinique
"Paris, France",,1953-09,,1955-03,,,,paris_france
"Fort-de-France, Martinique",1955-03-22,,,1955-04,,,,fort_de_france_martinique
"Paris, France",,1955-05,,1955-12,,,,paris_france
"Fort-de-France, Martinique",1955-12-09,,,1956-01,,,,fort_de_france_martinique
"Paris, France",,1956-01,,1956-11,,,,paris_france
"Fort-de-France, Martinique",1956-11-19,,,1957-06,,,,fort_de_france_martinique
"Paris, France",,1957-07,,,,,,paris_france
"Fort-de-France, Martinique",,1957-08,,1957-12,,,,fort_de_france_martinique
"Paris, France",,1958-01,,1958-03,,,,paris_france
"Fort-de-France, Martinique",,1958-03,,1958-06,,,,fort_de_france_martinique
"Paris, France",,1958-06,,,,,,paris_france
"Brussels, Belgium",,1958-06,,,,,,brussels_belgium
"Paris, France",,1958-06,,,,,,paris_france
"Fort-de-France, Martinique",,1958-06,,1959-03,,,,fort_de_france_martinique
"Paris, France",,1959-03,,,,,,paris_france
"Rome, Italy",,1959-03-26,,1959-04-01,,,,rome_italy
"Paris, France",,1959-04,,1960-01,,,,paris_france
"Fort-de-France, Martinique",1960-01-08,,,1960-02,,,,fort_de_france_martinique
"Paris, France",1960-03,,,1960-06,,,,paris_france
"Paris, France",1960-11,,,1961-03,,,,paris_france
"Fort-de-France, Martinique",1961-04-11,,,,,,,fort_de_france_martinique
"Paris, France",1961-05,,,1961-06,,,,paris_france
"Dakar, Senegal",1961-08,,,,,,,dakar_senegal
"Paris, France",1961-09,,,,,,,paris_france
"Berlin, Germany",1961-09-19,,,,,,,berlin_germany
"Eschenau, Austria",1961-09,,,,,,,eschenau_austria
"Brussels, Belgium",1961-10,,,,,,,brussels_belgium
"Munich, Germany",1961-11,,,,,,,munich_germany
"Milan, Italy",1962-01,,,,,,,milan_italy
"Naples, Italy",1962-01,,,,,,,naples_italy
"Rome, Italy",1962-01,,,,,,,rome_italy
"Venice, Italy",1962-01,,,,,,,venice_italy
"Fort-de-France, Martinique",1962-03,,,,,,,fort_de_france_martinique
"Paris, France",1962-04,,,,,,,paris_france
"Salvador de Bahia, Brazil",1962-09,,,,,,,salvador_de_bahia_brazil
"Port-of-Spain, Trinidad",1962-10,,,,,,,port_of_spain_trinidad
"Munich, Germany",1962-10,,,,,,,munich_germany
"Fort-de-France, Martinique",1962-10,,,1962-12,,,,fort_de_france_martinique
"Paris, France",1963-01,,,,,,,paris_france
"Hanover, Germany",1963-04-20,,,,,,,hanover_germany
"Addis-Ababa, Ethiopia",1963-05,,,,,,,addis_ababa_ethiopia
"Fort-de-France, Martinique",1963-07,,,,,,,fort_de_france_martinique
"Paris, France",1963-09,,,,,,,paris_france
"Fort-de-France, Martinique",1964-01,,,1964-02,,,,fort_de_france_martinique
"Salvador de Bahia, Brazil",1964-02,,,1964-03,,,,salvador_de_bahia_brazil
"Fort-de-France, Martinique",1964-03,,,1964-05,,,,fort_de_france_martinique
"Paris, France",1964-05,,,,,,,paris_france
"Salzburg, Austria",1964-08,,,,,,,salzburg_austria
"Vienna, Austria",1964-08,,,,,,,vienna_austria
"Berlin, Germany",1964-09-21,,,,1964-09-22,,,berlin_germany
"Venice, Italy",1964-09-26,,,,1964-09-27,,,venice_italy
"Brussels, Belgium",1964-10-01,,,,1964-10-03,,,brussels_belgium
"Fort-de-France, Martinique",,1965-03,,1965-04,,,,fort_de_france_martinique
"Paris, France",,1965-05,,,,,,paris_france
"Dakar, Senegal",,1966-03,,,1966-04-24,,,dakar_senegal
"Abidjan, Ivory Coast",,1966-04,,,,,,abidjan_ivory_coast
"Paris, France",,1966-10,,,,,,paris_france
"Fort-de-France, Martinique",,1967-01,,1967-03,,,,fort_de_france_martinique
"Paris, France",,1967-04,,1967-05,,,,paris_france
"Fort-de-France, Martinique",,1967-08,,,,,,fort_de_france_martinique
"Paris, France",,1967-10,,1967-12,,,,paris_france
"Havana, Cuba",1967-12-26,,,,1968-01-11,,,havana_cuba
"Paris, France",,1968-02,,,,,,paris_france
"Fort-de-France, Martinique",,1968-03,,,,,,fort_de_france_martinique
"Paris, France",,1968-04,,,,,,paris_france
"New York, New York, USA",,1968-06,,,,,,new_york_new_york_usa
"Fort-de-France, Martinique",,1968-06,,,,,,fort_de_france_martinique
"Paris, France",,1968-07,,,,,,paris_france
"Paris, France",,1969,,,,,,paris_france
"Fort-de-France, Martinique",,1970-07,,1970-09,,,,fort_de_france_martinique
"Paris, France",,1970-10,,,,,,paris_france
"Fort-de-France, Martinique",,1971-01,,1971-10,,,,fort_de_france_martinique
"Port-of-Spain, Trinidad",,1971-10,,,,,,port_of_spain_trinidad
"Paris, France",,1971-10,,,,,,paris_france
"Fort-de-France, Martinique",,1971-12,,1972-01,,,,fort_de_france_martinique
"Montreal, Canada",,1972-04,,,,,,montreal_canada
"Fort-de-France, Martinique",,1972-07,,1972-08,,,,fort_de_france_martinique
"Paris, France",,1972-10,,1972-11,,,,paris_france
"Fort-de-France, Martinique",,1972-11,,1973-03,,,,fort_de_france_martinique
"Fort-de-France, Martinique",,1973-07,,,,,,fort_de_france_martinique
"Paris, France",,1973-10,,,,,,paris_france
"Paris, France",,1974-02,,,,,,paris_france
"Fort-de-France, Martinique",,1974-02,,1974-10,,,,fort_de_france_martinique
"Paris, France",,1974-11,,,,,,paris_france
"Fort-de-France, Martinique",,1974-12,,,,,,fort_de_france_martinique
"Port-of-Spain, Trinidad",1974-12-14,,,,,,,port_of_spain_trinidad
"Fort-de-France, Martinique",,1974-12,,1975-06,,,,fort_de_france_martinique
"Paris, France",,1975-11,,,,,,paris_france
"Fort-de-France, Martinique",,1975-12,,,,,,fort_de_france_martinique
"Fort-de-France, Martinique",,1976-02,,1976-03,,,,fort_de_france_martinique
"Paris, France",,1976-05,,1976-12,,,,paris_france
"Fort-de-France, Martinique",1976-12-10,,,1977-03,,,,fort_de_france_martinique
"Paris, France",,1977-06,,,,,,paris_france
"Dakar, Senegal",1977-06-09,,,,,,,dakar_senegal
"Fort-de-France, Martinique",,1977-07,,1977-10,,,,fort_de_france_martinique
"Paris, France",,1977-11,,1977-12,,,,paris_france
"Fort-de-France, Martinique",,1978-01,,1978-04,,,,fort_de_france_martinique
"Paris, France",,1978-05,,,,,,paris_france
"Geneva, Switzerland",,1978-06,,,,,,geneva_switzerland
"Fort-de-France, Martinique",1978-07-04,,,1978-08,,,,fort_de_france_martinique
"Paris, France",,1978-11,,,,,,paris_france
"Fort-de-France, Martinique",,1979-01,,,,,,fort_de_france_martinique
"Fort-de-France, Martinique",,1979-06,,1979-09,,,,fort_de_france_martinique
"Paris, France",,1979-10,,1979-12,,,,paris_france
"Dakar, Senegal",1979-12-21,,,,,,,dakar_senegal
"Fort-de-France, Martinique",,1980-02,,1980-05,,,,fort_de_france_martinique
"Paris, France",,1980-06,,,,,,paris_france
"Fort-de-France, Martinique",,1980-06,,1981-04,,,,fort_de_france_martinique
"Paris, France",1981-03-15,,,,,,,paris_france
"Fort-de-France, Martinique",1981-03-29,,,1981-07,,,,fort_de_france_martinique
"Paris, France",1981-07-13,,,,,,,paris_france
"Fort-de-France, Martinique",,1982-02,,,,,,fort_de_france_martinique
"Angoulême, France",1982-05-22,,,,,,,angouleme_france
"Paris, France",,1982-09,,,,,,paris_france
"Fort-de-France, Martinique",,1982-12,,,,,,fort_de_france_martinique
"Paris, France",1982-12-15,,,,,,,paris_france
"Fort-de-France, Martinique",1983-01-10,,,1983-03,,,,fort_de_france_martinique
"Paris, France",,1983-12,,,,,,paris_france
"Fort-de-France, Martinique",,1984-03,,,,,,fort_de_france_martinique
"Paris, France",,1984-06,,,,,,paris_france
"Fort-de-France, Martinique",,1985-02,,1985-03,,,,fort_de_france_martinique
"Paris, France",,1985-04,,,,,,paris_france
"Fort-de-France, Martinique",1985-03-29,,,1985-10,,,,fort_de_france_martinique
"Paris, France",,1985-11,,,,,,paris_france
"Fort-de-France, Martinique",,1985-12,,,,,,fort_de_france_martinique
"Paris, France",,1985-12,,,,,,paris_france
"Fort-de-France, Martinique",,1986-01,,1981-04,,,,fort_de_france_martinique
"Paris, France",,1986-04,,,,,,paris_france
"Fort-de-France, Martinique",,1986-07,,,,,,fort_de_france_martinique
"Paris, France",,1986-11,,,,,,paris_france
"Fort-de-France, Martinique",,1987-01,,,,,,fort_de_france_martinique
"Miami, Florida, USA",1987-02-26,,,,1987-02-28,,,miami_florida_usa
"Fort-de-France, Martinique",,1987-07,,1989-05,,,,fort_de_france_martinique
"Paris, France",,1989-06,,,,,,paris_france
"Avignon, France",,1989-07,,,,,,avignon_france
"Fort-de-France, Martinique",,1989-08,,,,,,fort_de_france_martinique
"Paris, France",,1989-10,,1989-11,,,,paris_france
"Fort-de-France, Martinique",,1989-12,,,,,,fort_de_france_martinique
