Kamau Brathwaite,kbrathwaite,"poet, historian",,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Bridgetown, Barbados",1930-05-11,,"""Edward Kamau Brathwaite,"" Contemporary Authors Online",,1950,"Breiner, Laurence A. ",,bridgetown_barbados
"Cambridge, England",1950,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1954,"Breiner, Laurence A. ",attends Pembroke College,cambridge_england
"Accra, Ghana",1955,,"Breiner, Laurence A. ",,,,works for Ghana's Department of Education,accra_ghana
"Ho, Trans-Volta Togoland",1956,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,works as plebiscite officer for the UN,ho_trans_volta_togoland
"Bridgetown, Barbados",1960,,"Breiner, Laurence A. ",,,,meets and marries wife,bridgetown_barbados
"Castries, Saint Lucia",1962,,"Breiner, Laurence A. ",,1963,"Breiner, Laurence A. ",works as resident tutor ,castries_saint_lucia
"Mona, Jamaica",1963,,"Breiner, Laurence A. ",,1965,"Breiner, Laurence A. ",UWI Mona,mona_jamaica
"Falmer, Sussex, England",1965,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,attends University of Sussex,falmer_sussex_england
"London, England",1966,,"Ngũgĩ wa Thiong'o, pg. 677",,,,meets article author at Caribbean Arts Movement gathering,london_england
"Falmer, Sussex, England",1966,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1968,"Breiner, Laurence A. ",,falmer_sussex_england
"Mona, Jamaica",1968,,"Breiner, Laurence A. ",,,,returns to Jamaica after PhD in England; accepts UWI-Mona History faculty position until 1991 when moves to NYU,mona_jamaica
"Carbondale, Illinois, USA",1970,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1971,"""Edward Kamau Brathwaite,"" Contemporary Poets","accepts Visiting Professorship, Southern Illinois University ",carbondale_illinois_usa
"Nairobi, Kenya",1971,,"""Edward Kamau Brathwaite,"" Contemporary Poets",1972,,World Literature Today,"accepts Nairobi University, City of Nairobi fellowship",nairobi_kenya
"Limura, Kenya",1972,,"Cobham-Sander, 81",,,,participates in naming ceremony,limura_kenya
"Georgetown, Guyana",1972,,"""The First Carifesta,"" Carribean Beat ",,,,attends Carifesta I,georgetown_guyana
"Boston, Massachusetts, USA",1975,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1976,"""Edward Kamau Brathwaite,"" Contemporary Poets",visits Boston University,boston_massachusetts_usa
"Kingston, Jamaica",1976,,"""The First Carifesta,"" Carribean Beat ",,,,gives lecture at Carifesta II,kingston_jamaica
"Cambridge, Massachusetts, USA",1979,,"Bindella, Davis",,,,gives lecture at Harvard,cambridge_massachusetts_usa
"Bremen, Germany",1980,,"Brathwaite, ""Afternoon of the Status Crow"" ",,,,gives lecture ,bremen_germany
"Mysore, India",1982,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1983,"""Edward Kamau Brathwaite,"" Contemporary Poets",visits University of Mysore,mysore_india
"Worcester, Massachusetts, USA",1983,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,visits Holy Cross College,worcester_massachusetts_usa
"London, England",1984,,"Mackey, 56",,,,attends London Black Book Fair,london_england
"Bridgetown, Barbados",1987,,Central Bank of Barbados ,,1987,"""Edward Kamau Brathwaite,"" Contemporary Poets",gives annual Sir Winston Scott Memorial Lecture,bridgetown_barbados
"Cambridge, Massachusetts, USA",1987,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1988,"""Edward Kamau Brathwaite,"" Contemporary Poets",accepts visiting fellow position at Harvard University,cambridge_massachusetts_usa
"New Haven, Connecticut, USA",1988,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1988,"Breiner, Laurence A. ",visits Yale University,new_haven_connecticut_usa
"Mona, Jamaica",1988,,"Breiner, Laurence A. ",,,,experiences destruction of home during Hurricane Gilbert (1988).,mona_jamaica
"Santa Cruz, California, USA",1990-04-05,,"Mackey, 42",,,,holds interview w/Nathaniel Mackey while Regents' Professor at UC Santa Cruz,santa_cruz_california_usa
"New York, New York, USA",1991-09,,"Breiner, Laurence A. ",,,,accepts position at NYU (splits time w/Caribbean home),new_york_new_york_usa
"Manhattan, New York, USA",1993-11-18,,"Brathwaite, ConVERSations, front matter",,1993,"Brathwaite, ConVERSations, front matter",holds conversation w/Nathaniel Mackey at Poets House ,manhattan_new_york_usa
"Orange, New Jersey, USA",1994,,"Ngũgĩ wa Thiong'o, pg. 677",,1994,"Ngũgĩ wa Thiong'o, pg. 677",attends celebration for birth of Ngũgĩ wa Thiong'o's child (Spring 1994),orange_new_jersey_usa
"New York, New York, USA",1994,,"Breiner, Laurence A. ",,,,leaves Jamaica for NYU (splits time w/ Caribbean home),new_york_new_york_usa
"Memphis, Tennessee, USA",1996-11-20,,"Brathwaite ""Note(s) on Caribbean Cosmology""",,,,"attends conference at the University of Memphis, ""The Caribbean: South of the South""",memphis_tennessee_usa
"CowPastor, Barbados",,1997-08-01,"Brathwaite, ConVERSations",1997-08-29,,"Brathwaite, ConVERSations",,cowpastor_barbados
"Basseterre, St. Kitts and Nevis",,2000-08-17,Caribbean Community Secretariat,2000-08-25,,Caribbean Community Secretariat,attends CARIFESTA VII 2000,basseterre_st_kitts_and_nevis
"Kingston, Jamaica",2001,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,,kingston_jamaica
"Miami, Florida, USA",2003-03,,"Paquet, Sandra",,,,attends West Indian Lit Conference at UMiami,miami_florida_usa
"New York, New York, USA",2009-09,,Brathwaite syllabus,,,,teaches Topcs in Caribbean Lit at NYU,new_york_new_york_usa
"Brooklyn, New York, USA",2010-03-25,,"""The Tenth National Black Writers' Conference,"" CUNY",2010-03-28,,"""The Tenth National Black Writers' Conference,"" CUNY",attends Tenth National Black Writer's Conference at Medgar Evers College ,brooklyn_new_york_usa
