Kamau Brathwaite,kbrathwaite,"poet, historian",,,,,,,,,
City,State/Province/County (optional),Country,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories
Bridgetown,,Barbados,1930-05-11,,"""Edward Kamau Brathwaite,"" Contemporary Authors Online",,1950,"Breiner, Laurence A. ",Birth,,
Cambridge,,England,1950,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1954,"Breiner, Laurence A. ",Attended Pembroke College,,
Accra,,Ghana,1955,,"Breiner, Laurence A. ",,,,Works for Ghana's Department of Education; City ambiguous,,
Ho,,Trans-Volta Togoland,1956,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,Plebiscite officer for the UN; City ambiguous,,
Bridgetown,,Barbados,1960,,"Breiner, Laurence A. ",,,,"On leave from position in Ghana, meets and marries wife; City ambiguous",,
Castries,,Saint Lucia,1962,,"Breiner, Laurence A. ",,1963,"Breiner, Laurence A. ",Works as resident tutor; City ambiguous ,,
Mona,,Jamaica,1963,,"Breiner, Laurence A. ",,1965,"Breiner, Laurence A. ",UWI Mona,,
Falmer,Sussex,England,1965,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,Attended University of Sussex,,
London,,England,1966,,"Ngũgĩ wa Thiong'o, pg. 677",,,,Meets article author at Caribbean Arts Movement gathering,,
Falmer,Sussex,England,1966,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1968,"Breiner, Laurence A. ",,,
Mona,,Jamaica,1968,,"Breiner, Laurence A. ",,,,"Returns to Jamaica after PhD in England, potentially here up til 1991 when he moves to NYU",,
Carbondale,Illinois,USA,1970,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1971,"""Edward Kamau Brathwaite,"" Contemporary Poets","Visiting professor, Southern Illinois University ",,
Nairobi,,Kenya,1971,,"""Edward Kamau Brathwaite,"" Contemporary Poets",1972,,World Literature Today,"Nairobi University, City of Nairobi fellowship; Naming ceremony 1972 in Limura, Kenya",,
Limura,,Kenya,1972,,"Cobham-Sander, 81",,,,Naming ceremony,,
Georgetown ,,Guyana,1972,,"""The First Carifesta,"" Carribean Beat ",,,,Carifesta I; City ambiguous,,
Boston,Massachusettes,USA,1975,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1976,"""Edward Kamau Brathwaite,"" Contemporary Poets",Boston University,,
Kingston,,Jamaica,1976,,"""The First Carifesta,"" Carribean Beat ",,,,Gives lecture at Carifesta II,,
Cambridge,Massachusettes,USA,1979,,"Bindella, Davis",,,,Gives lecture at Harvard,,
Mysore,,India,1982,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1983,"""Edward Kamau Brathwaite,"" Contemporary Poets",University of Mysore,,
Worchester,Massachusettes,USA,1983,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,Holy Cross College,,
London,,England,1984,,"Mackey, 56",,,,London Black Book Fair,,
Bridgetown,,Barbados,1987,,Central Bank of Barbados ,,1987,"""Edward Kamau Brathwaite,"" Contemporary Poets",Gives annual Sir Winston Scott Memorial Lecture; City ambiguous ,,
Cambridge,Massachusettes,USA,1987,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1988,"""Edward Kamau Brathwaite,"" Contemporary Poets","visiting fellow, Harvard",,
New Haven,Connecticut,USA,1988,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,1988,"Breiner, Laurence A. ",Yale University,,
Mona,,Jamaica,1988,,"Breiner, Laurence A. ",,,,Lives in Jamaica until 1991. Home destroyed during Hurricane Gilbert (1988).,,
Santa Cruz,California,USA,1990-04-05,,"Mackey, 42",,,,"Mackey interview, while Brathwaite was Regents' Professor at UC Santa Cruz",,
New York City,New York,USA,1991-09,,"Breiner, Laurence A. ",,,,Leaves Jamaica for NYU (splits time w/ Caribbean home),,
Manhattan,New York,USA,1993-11-18,,"Brathwaite, ConVERSations, front matter",,1993,"Brathwaite, ConVERSations, front matter",Conversation with Nathaniel Mackey at Poets House ,,
Orange,New Jersey,United States,1994,,"Ngũgĩ wa Thiong'o, pg. 677",,1994,"Ngũgĩ wa Thiong'o, pg. 677",Attended celebration for birth of Ngũgĩ wa Thiong'o's child (Spring 1994),,
New York City,New York,USA,1994,,"Breiner, Laurence A. ",,,,Leaves Jamaica for NYU (splits time w/ Caribbean home),,
Memphis,Tennessee,USA,1996-11-20,,"Brathwaite ""Note(s) on Caribbean Cosmology""",,,,"Conference at the University of Memphis, ""The Caribbean: South of the South""",,
CowPastor,,Barbados,,1997-08-01,"Brathwaite, ConVERSations",1997-08-29,,"Brathwaite, ConVERSations",,,
Basseterre,,St. Kitts and Nevis,,2000-08-17,Caribbean Community Secretariat,2000-08-25,,Caribbean Community Secretariat,CARIFESTA VII 2000; City ambiguous,,
Kingston,,Jamaica,2001,,"""Edward Kamau Brathwaite,"" Contemporary Poets",,,,"Address as of 2001: Department of History, University of the West Indies, Mona, Kingston 7, Jamaica",,
Miami,Florida,USA,2003-03,,"Paquet, Sandra",,,,West Indian Lit Conference at UMiami,,
New York City,New York,USA,2009-09,,Brathwaite syllabus,,,,Teaches Tpcs in Caribbean Lit at NYU,,
Brooklyn,New York,USA,2010-03-25,,"""The Tenth National Black Writers' Conference,"" CUNY",2010-03-28,,"""The Tenth National Black Writers' Conference,"" CUNY",Tenth National Black Writer's Conference at Medgar Evers ,,
